generation,best_fitness
1,24
2,24
3,25
4,25
5,25
6,26
7,26
8,26
9,26
10,26
11,26
12,26
13,26
14,26
15,26
16,27
17,27
18,27
19,27
20,27
21,27
22,28
23,28
24,28
25,28
26,28
27,29
28,29
29,29
30,29
31,29
32,29
33,29
34,29
35,29
36,29
37,29
38,29
39,29
40,29
41,29
42,29
43,29
44,29
45,29
46,29
47,29
48,29
49,29
50,29
51,29
52,29
53,29
54,29
55,29
56,29
57,29
58,29
59,29
60,29
61,29
62,29
63,29
64,29
65,29
66,30
67,30
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
77,30
78,30
79,30
80,30
81,30
82,30
83,30
84,30
85,30
86,30
87,30
88,30
89,30
90,30
91,30
92,30
93,30
94,30
95,30
96,30
97,30
98,30
99,30
100,30
101,30
102,30
103,30
104,30
105,30
106,30
107,30
108,30
109,30
110,31
111,31
112,31
113,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,31
129,31
130,31
131,31
132,31
133,31
134,31
135,31
136,31
137,31
138,31
139,31
140,31
141,31
142,31
143,31
144,31
145,31
146,31
147,31
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,31
165,31
166,31
167,31
168,31
169,31
170,31
171,32
